% 
% 
@RELATION Tamura 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE class {C02, C01, C03} 

@DATA 
3.18896484375,4.724836034852727,2638.0,115.0,107.0,156.0,84.0,48.0,36.0,41.0,24.0,22.0,30.0,79.0,94.0,103.0,111.0,156.0,C01
3.2001953125,4.665302251450398,2680.0,42.0,49.0,82.0,53.0,35.0,71.0,58.0,42.0,38.0,41.0,170.0,180.0,117.0,95.0,91.0,C01
3.044921875,4.576888473472043,2630.0,59.0,73.0,123.0,87.0,50.0,70.0,61.0,32.0,47.0,47.0,114.0,85.0,96.0,112.0,158.0,C01
3.1708984375,4.840177831955129,2463.0,80.0,84.0,154.0,116.0,111.0,105.0,77.0,48.0,40.0,54.0,164.0,120.0,58.0,93.0,77.0,C01
3.1474609375,5.203379515434206,2326.0,80.0,86.0,130.0,111.0,106.0,117.0,118.0,78.0,69.0,90.0,161.0,113.0,79.0,71.0,109.0,C01
3.01806640625,3.7682861684155258,2908.0,15.0,46.0,89.0,72.0,57.0,61.0,144.0,77.0,64.0,56.0,72.0,60.0,47.0,22.0,54.0,C01
3.03466796875,3.782255814721921,2902.0,59.0,61.0,79.0,64.0,39.0,53.0,116.0,45.0,37.0,54.0,80.0,64.0,67.0,58.0,66.0,C01
3.1357421875,4.489481382528558,2680.0,47.0,46.0,67.0,54.0,50.0,52.0,120.0,80.0,95.0,82.0,177.0,97.0,77.0,63.0,57.0,C01
3.10693359375,4.260881062079559,2732.0,46.0,73.0,110.0,66.0,29.0,27.0,105.0,40.0,18.0,41.0,162.0,132.0,91.0,80.0,92.0,C01
2.40185546875,3.5056086449998753,3049.0,41.0,43.0,66.0,57.0,34.0,53.0,50.0,21.0,25.0,22.0,66.0,80.0,67.0,55.0,115.0,C01
2.75634765625,3.2218775533594157,3058.0,20.0,20.0,46.0,46.0,62.0,37.0,54.0,22.0,28.0,32.0,90.0,99.0,68.0,54.0,108.0,C01
2.48486328125,3.2021849168266967,3198.0,19.0,20.0,32.0,31.0,29.0,24.0,49.0,15.0,15.0,14.0,97.0,122.0,59.0,48.0,72.0,C01
2.72412109375,3.6881782019569465,2895.0,41.0,40.0,62.0,56.0,33.0,41.0,99.0,32.0,24.0,43.0,98.0,108.0,112.0,96.0,64.0,C01
2.771484375,3.6038555558503735,2905.0,23.0,23.0,54.0,38.0,27.0,45.0,123.0,92.0,84.0,96.0,105.0,70.0,59.0,62.0,38.0,C01
3.05126953125,3.827593003520494,2898.0,24.0,39.0,115.0,63.0,46.0,38.0,165.0,55.0,57.0,44.0,79.0,64.0,52.0,47.0,58.0,C01
